,xs_std,ys_std,Rper,Rper_max,xs_std_err,ys_std_err,xs_std_ci,ys_std_ci,Rper_err,Rper_ci,Rper_max_err,Rper_max_ci,obs_phi,spot_ratio,radii_method,latitude_method,num_multi,size_multi
6835,12.290859230086003,9.605463723485313,159607.97758411904,252275.41526819364,0.068398505623258,0.05698492843220916,"[12.157925393352539, 12.426944388806842]","[9.493060645664096, 9.717981148643439]",794.9212538823454,"[157718.820274928, 160800.61804924317]",3504.2990166353698,"[243175.90068275397, 252275.41526819364]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],89.0,4.242640687119285
6836,12.71929952277528,7.984330790710078,136217.57086871084,216615.4724099124,0.0958060111038114,0.04685364558368425,"[12.535391104349044, 12.90511716301402]","[7.893348601657993, 8.077299061004078]",694.7650936599325,"[134718.36088626043, 137382.1615513888]",3457.8972440460734,"[207657.58916169975, 216615.4724099124]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],89.0,4.242640687119285
6837,11.932844258601008,8.990246343062829,76159.18434348628,131320.4163891346,0.07191584363335325,0.052102639371327995,"[11.793690924459067, 12.0744553753259]","[8.88798376034904, 9.09196032332731]",432.89525581988636,"[75372.96514023928, 76985.03948424738]",4108.4756627991155,"[119898.7676836537, 131320.4163891346]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],89.0,4.242640687119285
6838,11.921490750056456,11.921490750056455,0.0,0.0,0.07372851129404003,0.07413396540836183,"[11.776805273039303, 12.06280327507767]","[11.77382833055503, 12.06842291549438]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],89.0,4.242640687119285
6839,12.901271528849588,9.742455230018265,160125.40015523435,253674.4229975697,0.07304387256964094,0.05330577631623887,"[12.755983050964566, 13.042928809328616]","[9.637296054218753, 9.846594219344642]",777.5540720635928,"[158663.03251301983, 161623.3143291772]",5236.397099663679,"[242333.79076623908, 253674.42299756972]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],90.0,4.242640687119285
6840,13.019064295724288,8.30652977401097,137286.42877137792,214373.1358218347,0.0743424719253791,0.04723530547711862,"[12.872053248906575, 13.163274454344789]","[8.215075523732468, 8.400848249888528]",620.725405819793,"[135992.5746415369, 138600.40532495943]",1858.2086529331668,"[208660.9793515658, 214373.1358218347]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],90.0,4.242640687119285
6841,10.866736065844114,8.27760999337314,75200.9347194661,124571.48868702994,0.06492604367970531,0.05004603135777361,"[10.739006103963073, 10.992037093696352]","[8.180828872262145, 8.37713120632754]",456.37163541553844,"[74602.76864184695, 76357.15016763555]",2933.196670944574,"[118047.2027407602, 124571.48868702994]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],90.0,4.242640687119285
6842,11.238518061926957,11.238518061926957,0.0,0.0,0.07145300913294467,0.07160585024016006,"[11.100568000089506, 11.381038062169967]","[11.100221540316864, 11.380106118053401]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],90.0,4.242640687119285
6843,1.5850574619609716,1.5850574619609719,0.0,0.0,0.007568196461551957,0.00756548080507639,"[1.5702626947918716, 1.5999452600945296]","[1.5701841350738925, 1.5998115868509288]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 1.4142135623730951], ['Baumann Group Max', False, 1.4142135623730951]]",['solar butterfly'],79.0,1.4142135623730951
6844,12.091176088855955,9.018749615970744,159173.5608358432,247508.760529202,0.07188900454982561,0.048631672594840095,"[11.94996416167588, 12.231691473982647]","[8.922035329667821, 9.112815774914642]",824.9161453124933,"[157150.85183270872, 160589.4544528682]",1302.6339594597362,"[243433.22324747618, 247508.760529202]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],91.0,4.242640687119285
